symbol,year,strategy,total_return,benchmark_return,excess_return,sharpe_ratio,max_drawdown,volatility,win_rate
AAPL,2020,Simple Moving Average,73.94362132230596,79.62354293703468,-5.679921614728727,2.179846474118194,-20.37563005906431,27.208879960516335,59.02777777777778
AAPL,2020,Momentum Strategy,8.803973486578286,79.62354293703468,-70.8195694504564,0.4474406227376426,-19.282669455094474,27.237713768661315,45.714285714285715
AAPL,2020,Bollinger Bands,7.773751184695499,79.62354293703468,-71.84979175233919,0.3945514278898539,-25.886899095371163,32.10233297514348,49.056603773584904
AAPL,2020,RSI Strategy,3.601739946925453,79.62354293703468,-76.02180299010924,0.27909806940021326,-25.886899095371152,36.47986454279106,45.45454545454545
AAPL,2020,MACD Strategy,51.95247747652449,79.62354293703468,-27.671065460510192,1.658924783641365,-15.00831383588884,27.624878778368267,53.16455696202531
AAPL,2020,Stochastic Oscillator,0.6503124139651817,79.62354293703468,-78.9732305230695,0.2020454058172992,-25.886899095371135,37.023235818764284,46.15384615384615
AAPL,2020,VWAP Strategy,-5.190445475422489,79.62354293703468,-84.81398841245718,0.030173190532044463,-25.886899095371135,35.90979135459586,46.666666666666664
AAPL,2021,[BENCHMARK] Buy & Hold,38.550806511883074,38.550806511883074,0.0,1.4371439634276328,-18.59885061511154,25.06067168562442,53.6
AAPL,2021,Simple Moving Average,18.08217760187343,38.550806511883074,-20.468628910009645,1.075622518779498,-10.693695180389364,16.904553233293697,54.54545454545454
AAPL,2021,Momentum Strategy,23.64458209073168,38.550806511883074,-14.906224421151393,1.6673533789926918,-7.20476350141309,13.369552150262699,55.33980582524271
AAPL,2021,Bollinger Bands,8.773621127194332,38.550806511883074,-29.777185384688742,0.6353601864387413,-8.944363506536385,15.135953948093439,53.65853658536586
AAPL,2021,RSI Strategy,6.628730847040676,38.550806511883074,-31.9220756648424,0.4872135329290132,-14.095823648248459,15.841329460120965,52.17391304347826
AAPL,2021,MACD Strategy,29.923896150920548,38.550806511883074,-8.626910360962526,1.5316858197702334,-9.391436675792805,18.32954726099456,56.451612903225815
AAPL,2021,Stochastic Oscillator,7.5918342565539865,38.550806511883074,-30.958972255329087,0.9783697167244715,-5.29540705865964,7.853400431069191,52.38095238095239
AAPL,2021,VWAP Strategy,-3.0408352151436335,38.550806511883074,-41.591641727026705,-0.12713186664566792,-12.636094532011082,15.3102814154741,50.0
AAPL,2022,[BENCHMARK] Buy & Hold,-28.199506245033856,-28.199506245033856,0.0,-0.7583583718836051,-29.45381325420371,35.672075877677074,46.98795180722892
AAPL,2022,Simple Moving Average,-21.610125013973146,-28.199506245033856,6.58938123106071,-1.329264306927453,-24.660473649311648,17.323164364634263,39.743589743589745
AAPL,2022,Momentum Strategy,-0.11379914361290266,-28.199506245033856,28.085707101420955,0.11117318736769546,-21.730862751719805,23.313557152293402,52.10084033613446
AAPL,2022,Bollinger Bands,3.102675638804575,-28.199506245033856,31.30218188383843,0.24870720296887464,-21.544943722821206,25.343524853388438,57.65765765765766
AAPL,2022,RSI Strategy,-25.217593937417615,-28.199506245033856,2.9819123076162413,-0.778515858715279,-32.03116948890543,31.327727743519457,50.29940119760479
AAPL,2022,MACD Strategy,-3.359361188904708,-28.199506245033856,24.84014505612915,-0.07321696633877361,-17.175596761489597,19.977339490353813,48.07692307692308
AAPL,2022,Stochastic Oscillator,-17.582275901185305,-28.199506245033856,10.61723034384855,-0.6119829433518533,-20.049794889772222,26.234809777751444,49.572649572649574
AAPL,2022,VWAP Strategy,-12.057485490664622,-28.199506245033856,16.142020754369234,-0.3126676824780678,-22.513133240612152,28.484510017160115,50.0
AAPL,2023,[BENCHMARK] Buy & Hold,54.79821996179315,54.79821996179315,0.0,2.3172982073260924,-14.932367096588598,19.954342591503824,56.451612903225815
AAPL,2023,Simple Moving Average,18.871126672149984,54.79821996179315,-35.92709328964317,1.4110141986194518,-9.998254736189995,12.99760091848292,51.470588235294116
AAPL,2023,Momentum Strategy,11.301894329081929,54.79821996179315,-43.49632563271122,1.051845081046065,-8.165508274495,10.863161043765283,54.32098765432099
AAPL,2023,Bollinger Bands,17.40934990234484,54.79821996179315,-37.38887005944831,2.351983189440222,-3.0424904116466807,7.011844447590826,75.0
AAPL,2023,RSI Strategy,16.188255271875573,54.79821996179315,-38.609964689917575,1.4680767107856398,-7.647623574298648,10.737072923016298,62.5
AAPL,2023,MACD Strategy,27.528747851922542,54.79821996179315,-27.26947210987061,1.9011670315930709,-7.960544968644221,13.421708305809338,53.78787878787878
AAPL,2023,Stochastic Oscillator,33.92016769601833,54.79821996179315,-20.87805226577482,2.8635409488820165,-4.824932590852266,10.520328964178544,69.11764705882352
AAPL,2023,VWAP Strategy,14.452105059302212,54.79821996179315,-40.34611490249094,1.3823233318623118,-4.824932590852252,10.264290247192978,63.793103448275865
AAPL,2024,[BENCHMARK] Buy & Hold,36.519888930577714,36.519888930577714,0.0,1.5098661349831284,-15.354791685721672,22.448826442759504,57.028112449799195
AAPL,2024,Simple Moving Average,29.438339548886017,36.519888930577714,-7.081549381691698,1.5616145572417561,-11.749429813365001,17.653423112016462,63.94557823129252
AAPL,2024,Momentum Strategy,29.37030729778911,36.519888930577714,-7.149581632788603,1.6810313748645889,-7.7369602501120545,16.217379614241917,61.60714285714286
AAPL,2024,Bollinger Bands,25.561701706240214,36.519888930577714,-10.9581872243375,1.67331403607316,-7.650984267950974,14.3244166067698,58.58585858585859
AAPL,2024,RSI Strategy,7.716392065939881,36.519888930577714,-28.803496864637832,0.5264515083278709,-11.844104530237178,16.945434119819208,52.41379310344828
